image,text
data/raw/newspaper/811.png,ش
data/raw/newspaper/812.png,ش
data/raw/newspaper/813.png,ش
data/raw/newspaper/814.png,ش
data/raw/newspaper/815.png,ش
data/raw/newspaper/820.png,ش
data/raw/newspaper/821.png,ش
data/raw/newspaper/822.png,ش
data/raw/newspaper/823.png,ش
data/raw/newspaper/829.png,ش
data/raw/newspaper/830.png,ش
data/raw/newspaper/831.png,ش
data/raw/newspaper/832.png,ش
data/raw/newspaper/838.png,ش
data/raw/newspaper/839.png,ش
data/raw/newspaper/840.png,ش
data/raw/newspaper/841.png,ش
data/raw/newspaper/847.png,ش
data/raw/newspaper/848.png,ش
data/raw/newspaper/849.png,ش
data/raw/newspaper/Screenshot_2026-07-17_030243.png,جیتنے کی پوری کوشش کی، آپ پر فخر: انگلینڈ کی شکست کے بعد شہزادہ ولیم کا جذباتی پیغام
data/raw/newspaper/Screenshot_2026-07-17_030243.png,فیفا ورلڈ کپ فٹبال کی افتتامی تقریب کا جشن میچ سے قبل منایا جائیگا
data/raw/newspaper/Screenshot_2026-07-17_030256.png,سائٹے 98 ہزار روپے کے ای چالان نادہندہ گاڑی پکڑی گئی
data/raw/newspaper/Screenshot_2026-07-17_030256.png,فیروز والہ: گودام میں آتشزدگی
data/raw/newspaper/Screenshot_2026-07-17_030256.png,والد، چچا اور دادا کو چاقو اور وار اور تشدد کرکے زخمی کرنے والا شخص گرفتار
data/raw/newspaper/Screenshot_2026-07-17_030423.png,پاکستان اور چین کا سی پیک 2.0، مصنوعی ذہانت اور ڈیجیٹل معیشت میں تعاون بڑھانے کا فیصلہ
data/raw/newspaper/Screenshot_2026-07-17_030423.png,سیکیورٹی فورسز کی بنوں اور ملحقہ علاقوں میں کارروائیاں، 24 خوارج ہلاک
data/raw/newspaper/Screenshot_2026-07-17_030423.png,سرکاری جامعات میں بھرتیوں سے متعلق وفاقی آئینی عدالت کا اہم فیصلہ جاری
data/raw/newspaper/Screenshot_2026-07-17_030423.png,وزیر اعلیٰ کے پی سبیل آفریدی، جنید اکبر آفریدی اور عبدالغنی آفریدی کیخلاف اشتہاری قرار دینے کی کارروائی شروع
data/raw/newspaper/Screenshot_2026-07-17_030754.png,اسرائیلی پارلیمنٹ تحلیل کر دی گئی
data/raw/newspaper/Screenshot_2026-07-17_030754.png,وینس نے کشنر و وٹکوف سے متعلق ایرانی انتہابی رپورٹ
data/raw/newspaper/Screenshot_2026-07-17_030754.png,اینٹی ڈوپنگ قوانین کی خلاف ورزی، محمد نواز کو سزا سنا دی
data/raw/newspaper/Screenshot_2026-07-17_030754.png,برطانیہ: ایرانی انٹیلی جنس کی معاونت کے الزام میں 1 شخص
data/raw/newspaper/Screenshot_2026-07-17_030754.png,اکشے کمار نے پاریش راول کو قانونی نوٹس کیوں بھیجا تھا؟
data/raw/newspaper/Screenshot_2026-07-17_030803.png,پاکستان آنے کے بعد 1 ماہ میں ڈرائیونگ کے 6 جرمانے ہو چکے
data/raw/newspaper/Screenshot_2026-07-17_030803.png,ٹرمپ فیفا ورلڈ کپ کا فائنل اسٹیڈیم میں دیکھیں گے
data/raw/newspaper/Screenshot_2026-07-17_030803.png,یوکرین کا بحیرہ اسود میں روس کے مزید 12 بحری جہازوں کو نشانہ بنانا
data/raw/newspaper/Screenshot_2026-07-17_030803.png,اردن میں موجود امریکی جنگی طیاروں کو نشانہ بنایا
data/raw/newspaper/Screenshot_2026-07-17_030803.png,جون میں کرنٹ اکاؤنٹ 64 کروڑ 90 لاکھ ڈالرز میں خسارے میں رہا
data/raw/newspaper/Screenshot_2026-07-17_030809.png,بہا سلیم کا کرکٹر پر ہراسانی کا الزام، قانونی کارروائی کا عندیہ
data/raw/newspaper/Screenshot_2026-07-17_030809.png,3 ایڈیٹس میں رنجھوڑ کا کردار سونم وانگ چ
data/raw/newspaper/Screenshot_2026-07-17_030809.png,رجب بٹ کو کون جانتا ہے؟ فہد مصطفی بڑے بیرو ہیں
data/raw/newspaper/Screenshot_2026-07-17_030816.png,سیلینا جیٹلی نے ڈپریشن اور بچوں سے جدائی پر دل کا حال
data/raw/newspaper/Screenshot_2026-07-17_030816.png,بہا سلیم کا کرکٹر پر ہراسانی کا الزام، قانونی کارروائی کا عندیہ
data/raw/newspaper/Screenshot_2026-07-17_030816.png,شہزاد نواز نے ٹیپو شریف کو جذباتی بیان پر حوصلہ دے دیا
data/raw/newspaper/Screenshot_2026-07-17_030816.png,رجب بٹ کو کون جانتا ہے؟ فہد مصطفی بڑے بیرو ہیں
data/raw/newspaper/Screenshot_2026-07-17_030816.png,کترینہ کیف نے چند سال میں 350 کروڑ سے زائد مالیت کا اضافہ کیا
data/raw/newspaper/Screenshot_2026-07-17_030822.png,کیا روہت شرما کا انگلینڈ سیریز کا آئندہ میچ آخری ون ڈے ہو گا؟
data/raw/newspaper/Screenshot_2026-07-17_030822.png,کیا وہم کے باعث صدر ارجنٹینا ورلڈ کپ فائنل میں شرکت نہیں کریں گے
data/raw/newspaper/Screenshot_2026-07-17_030822.png,فیفا ورلڈ کپ: 'سیاسی بینر' آویزاں کرنے پر ارجنٹینا پر خیال
data/raw/newspaper/Screenshot_2026-07-17_030822.png,فیفا ورلڈکپ: ارجنٹینا کے سب سے زیادہ فاؤلز لیکن کم یلو کارڈ
data/raw/newspaper/Screenshot_2026-07-17_030822.png,انتہا پسند اسرائیلی وزیر فیفا ورلڈ کپ میں ارجنٹینا کی فتح پر ناخوش
data/raw/newspaper/Screenshot_2026-07-17_030822.png,کوئی بھی ہمیں مفت میں کچھ نہیں دیتا
data/raw/newspaper/Screenshot_2026-07-17_030847.png,ملک بھر میں آٹے کی سپلائی متاثر، 10 اور 20 کلو کے تھیلے نایاب
data/raw/newspaper/Screenshot_2026-07-17_030847.png,پنجاب سے آٹے اور گندم کی اسمگلنگ روکنے کیلئے راولپنڈی کے داخلی و خارجی راستوں پر 9 چیک پوسٹیں قائم
data/raw/newspaper/Screenshot_2026-07-17_030847.png,علامہ سید عقیل الغروی مجلس عزا سے خطاب کریں گے
data/raw/newspaper/Screenshot_2026-07-17_030847.png,پاکستانی طلبہ نے 56 ویں انٹرنیشنل فزکس اولمپیاڈ میں تین کانسی کے تمغے جیت لیے
data/raw/newspaper/Screenshot_2026-07-17_030847.png,حق ملکیت کو آئین کے تحت تحفظ حاصل ہے، رضا ربانی
data/raw/newspaper/Screenshot_2026-07-17_030902.png,خواجہ ناصر علی ڈائریکٹر آڈٹ سی ڈی اے تعینات
data/raw/newspaper/Screenshot_2026-07-17_030902.png,آزاد کشمیر، بلوچستان صورتحال تشویشناک، حکومت حالات کا ادراک کرے، حافظ نعیم
data/raw/newspaper/Screenshot_2026-07-17_030902.png,راولپنڈی، مختلف واقعات میں 2 افراد نے خودکشی کر لی
data/raw/newspaper/Screenshot_2026-07-17_030902.png,راولپنڈی، سی پی او کا شہر کے مختلف علاقوں کا دورہ
data/raw/newspaper/Screenshot_2026-07-17_030902.png,ایف جی ای اے نے جی 13-14 میں تجاوزات کیخلاف آپریشن شروع کردیا
data/raw/newspaper/Screenshot_2026-07-17_030902.png,راولپنڈی کے شہری گاڑی 13 موٹر سائیکلوں سے محروم ہوگئے
data/raw/newspaper/Screenshot_2026-07-17_030910.png,راولپنڈی میں فوڈ ٹیسٹنگ لیبارٹری اینڈ ٹریننگ سکول قائم کرنے کا فیصلہ
data/raw/newspaper/Screenshot_2026-07-17_030910.png,شمالی علاقوں میں لینڈ سلائیڈنگ اور اچانک سیلاب کا سلسلہ جاری
data/raw/newspaper/Screenshot_2026-07-17_030910.png,ڈسٹرکٹ ہیلتھ اتھارٹی کے 73 کنٹریکٹ ملازمین کو فارغ کرنے کا فیصلہ
data/raw/newspaper/Screenshot_2026-07-17_030910.png,راولپنڈی، خود کو پرائس مجسٹریٹ ظاہر کرنیوالا جعلساز گرفتار
data/raw/newspaper/Screenshot_2026-07-17_030910.png,عبادت کے روز مسیحی سینیٹری ورکرز کو کام پر بلانے پر سی ڈی اے سے جواب طلب
data/raw/newspaper/Screenshot_2026-07-17_030922.png,فیک نیوز کا مقابلہ حقائق پر مبنی خبروں سے کیا جا سکتا ہے، طاہر خلیل
data/raw/newspaper/Screenshot_2026-07-17_030922.png,راولپنڈی میں مختلف واقعات، بچوں سے زیادتی کرنیوالے دو افراد گرفتار
data/raw/newspaper/Screenshot_2026-07-17_030922.png,اسلام آباد پولیس نے 25 جرائم پیشہ عناصر گرفتار کر لئے
data/raw/newspaper/Screenshot_2026-07-17_030922.png,راولپنڈی، سی پی او نے 2 ایس ایچ او تبدیل کردیا
data/raw/newspaper/Screenshot_2026-07-17_030922.png,راولپنڈی، مختلف واقعات، نو عمر لڑکے اور خاتون سمیت 4 افراد جان کی بازی ہار گئے
data/raw/newspaper/Screenshot_2026-07-17_030943.png,کیا الیکٹرک ہوائی جہاز کا تصور حقیقت کا روپ دھار با؟
data/raw/newspaper/Screenshot_2026-07-17_030943.png,خواتین کیلئے اپنے کاروبار میں کامیابی کے مواقع
data/raw/newspaper/Screenshot_2026-07-17_030943.png,نئی ٹیکنالوجی عدم مساوات کی وجہ نہیں بلکہ حل ہے
data/raw/newspaper/Screenshot_2026-07-17_030950.png,مینجمنٹ جاب اور اچھا منیجر
data/raw/newspaper/Screenshot_2026-07-17_030950.png,ترقیاتی کاموں سے آگاہی کا عالمی دن
data/raw/newspaper/Screenshot_2026-07-17_030950.png,انٹرنیشنل مانیٹری فنڈ (آئی ایم ایف) کیا کرتا ہے؟
