image,text
/content/data/others/811.png,ش
/content/data/others/812.png,ش
/content/data/others/813.png,ش
/content/data/others/814.png,ش
/content/data/others/815.png,ش
/content/data/others/820.png,ش
/content/data/others/821.png,ش
/content/data/others/822.png,ش
/content/data/others/823.png,ش
/content/data/others/829.png,ش
/content/data/others/830.png,ش
/content/data/others/831.png,ش
/content/data/others/832.png,ش
/content/data/others/838.png,ش
/content/data/others/839.png,ش
/content/data/others/840.png,ش
/content/data/others/841.png,ش
/content/data/others/847.png,ش
/content/data/others/848.png,ش
/content/data/others/849.png,ش
/content/data/others/Screenshot_2026-07-17_030243.png,جیتنے کی پوری کوشش کی، آپ پر فخر: انگلینڈ کی شکست کے بعد شہزادہ ولیم کا جذباتی پیغام
/content/data/others/Screenshot_2026-07-17_030243.png,فیفا ورلڈ کپ فٹبال کی افتتامی تقریب کا جشن میچ سے قبل منایا جائیگا
/content/data/others/Screenshot_2026-07-17_030256.png,سائٹے 98 ہزار روپے کے ای چالان نادہندہ گاڑی پکڑی گئی
/content/data/others/Screenshot_2026-07-17_030256.png,فیروز والہ: گودام میں آتشزدگی
/content/data/others/Screenshot_2026-07-17_030256.png,والد، چچا اور دادا کو چاقو اور وار اور تشدد کرکے زخمی کرنے والا شخص گرفتار
/content/data/others/Screenshot_2026-07-17_030423.png,پاکستان اور چین کا سی پیک 2.0، مصنوعی ذہانت اور ڈیجیٹل معیشت میں تعاون بڑھانے کا فیصلہ
/content/data/others/Screenshot_2026-07-17_030423.png,سیکیورٹی فورسز کی بنوں اور ملحقہ علاقوں میں کارروائیاں، 24 خوارج ہلاک
/content/data/others/Screenshot_2026-07-17_030423.png,سرکاری جامعات میں بھرتیوں سے متعلق وفاقی آئینی عدالت کا اہم فیصلہ جاری
/content/data/others/Screenshot_2026-07-17_030423.png,وزیر اعلیٰ کے پی سبیل آفریدی، جنید اکبر آفریدی اور عبدالغنی آفریدی کیخلاف اشتہاری قرار دینے کی کارروائی شروع
/content/data/others/Screenshot_2026-07-17_030754.png,اسرائیلی پارلیمنٹ تحلیل کر دی گئی
/content/data/others/Screenshot_2026-07-17_030754.png,وینس نے کشنر و وٹکوف سے متعلق ایرانی انتہابی رپورٹ
/content/data/others/Screenshot_2026-07-17_030754.png,اینٹی ڈوپنگ قوانین کی خلاف ورزی، محمد نواز کو سزا سنا دی
/content/data/others/Screenshot_2026-07-17_030754.png,برطانیہ: ایرانی انٹیلی جنس کی معاونت کے الزام میں 1 شخص
/content/data/others/Screenshot_2026-07-17_030754.png,اکشے کمار نے پاریش راول کو قانونی نوٹس کیوں بھیجا تھا؟
/content/data/others/Screenshot_2026-07-17_030803.png,پاکستان آنے کے بعد 1 ماہ میں ڈرائیونگ کے 6 جرمانے ہو چکے
/content/data/others/Screenshot_2026-07-17_030803.png,ٹرمپ فیفا ورلڈ کپ کا فائنل اسٹیڈیم میں دیکھیں گے
/content/data/others/Screenshot_2026-07-17_030803.png,یوکرین کا بحیرہ اسود میں روس کے مزید 12 بحری جہازوں کو نشانہ بنانا
/content/data/others/Screenshot_2026-07-17_030803.png,اردن میں موجود امریکی جنگی طیاروں کو نشانہ بنایا
/content/data/others/Screenshot_2026-07-17_030803.png,جون میں کرنٹ اکاؤنٹ 64 کروڑ 90 لاکھ ڈالرز میں خسارے میں رہا
/content/data/others/Screenshot_2026-07-17_030809.png,بہا سلیم کا کرکٹر پر ہراسانی کا الزام، قانونی کارروائی کا عندیہ
/content/data/others/Screenshot_2026-07-17_030809.png,3 ایڈیٹس میں رنجھوڑ کا کردار سونم وانگ چ
/content/data/others/Screenshot_2026-07-17_030809.png,رجب بٹ کو کون جانتا ہے؟ فہد مصطفی بڑے بیرو ہیں
